Reference:  189 apertures in PRDOPSSOC-H-015
Comparison: 189 apertures in pre_delivery

Number of modified apertures 189. Significant modifications are listed below.
Differences are reported for any text change
and fractional differences greater than 1e-06
NRCA5_GRISM256_F444W           Sci2IdlX55  2.13524271424243e-20  2.55680565951571e-20        0.000000    16.4879
NRCA5_GRISM256_F444W           Sci2IdlY10  -6.2766914878357e-05 -9.58877688019125e-05        0.000033    34.5413
NRCA5_GRISM256_F444W           Sci2IdlY11    0.0642006764178174    0.0642145791633078        0.000014     0.0217
NRCA5_GRISM256_F444W           Sci2IdlY20  2.12585836798807e-07  2.12663085493052e-07        0.000000     0.0363
NRCA5_GRISM256_F444W           Sci2IdlY21  2.05794534528512e-07  2.21972103421212e-07        0.000000     7.2881
NRCA5_GRISM256_F444W           Sci2IdlY22  -7.6854724296683e-07 -7.68441806131136e-07        0.000000     0.0137
NRCA5_GRISM256_F444W           Sci2IdlY30  1.39351930758267e-12  2.99956583170419e-13        0.000000    78.4749
NRCA5_GRISM256_F444W           Sci2IdlY31   1.1775434193284e-10  1.17293763358917e-10        0.000000     0.3911
NRCA5_GRISM256_F444W           Sci2IdlY32  2.00027868882654e-12 -1.97883821310468e-12        0.000000   198.9281
NRCA5_GRISM256_F444W           Sci2IdlY33  1.49105745692816e-10  1.48906641504699e-10        0.000000     0.1335
NRCA5_GRISM256_F444W           Sci2IdlY40 -3.84485793249853e-15 -3.80548924620705e-15        0.000000     1.0239
NRCA5_GRISM256_F444W           Sci2IdlY41 -3.05035077695178e-15  -1.6571188953852e-15        0.000000    45.6745
NRCA5_GRISM256_F444W           Sci2IdlY42 -2.96850344742033e-14 -2.95558466283652e-14        0.000000     0.4352
NRCA5_GRISM256_F444W           Sci2IdlY43 -3.65884446806773e-15 -2.37176175643968e-15        0.000000    35.1773
NRCA5_GRISM256_F444W           Sci2IdlY44 -2.39094949746566e-14 -2.38750604462966e-14        0.000000     0.1440
NRCA5_GRISM256_F444W           Sci2IdlY50  1.16644027148263e-19  1.12145552332446e-19        0.000000     3.8566
NRCA5_GRISM256_F444W           Sci2IdlY51  5.27790575840338e-18  5.27746235641411e-18        0.000000     0.0084
NRCA5_GRISM256_F444W           Sci2IdlY52  6.46554691129443e-19  6.37447257750754e-19        0.000000     1.4086
NRCA5_GRISM256_F444W           Sci2IdlY53  9.73943530226174e-18  9.73898610010231e-18        0.000000     0.0046
NRCA5_GRISM256_F444W           Sci2IdlY54  5.17884154373791e-19  5.13377957097922e-19        0.000000     0.8701
NRCA5_GRISM256_F444W           Sci2IdlY55   4.4105569286104e-18  4.41053450515241e-18        0.000000     0.0005
NRCA5_GRISM256_F444W           Idl2SciX00   0.00505931159489137   0.00313506968880972        0.001924    38.0337
NRCA5_GRISM256_F444W           Idl2SciX10      15.7306275938427      15.7276837333709        0.002944     0.0187
NRCA5_GRISM256_F444W           Idl2SciX11  4.24497240917171e-05  5.12560407735091e-05        0.000009    17.1810
NRCA5_GRISM256_F444W           Idl2SciX20 -0.000315471885626031 -0.000392293297044018        0.000077    19.5826
NRCA5_GRISM256_F444W           Idl2SciX21   0.00364309289053852   0.00363981009266798        0.000003     0.0901
NRCA5_GRISM256_F444W           Idl2SciX22  0.000430011395162042   0.00040041202064274        0.000030     6.8834
NRCA5_GRISM256_F444W           Idl2SciX30 -6.50424992819018e-06 -6.45468633113169e-06        0.000000     0.7620
NRCA5_GRISM256_F444W           Idl2SciX31 -6.58672499552313e-07 -5.07560762338894e-07        0.000000    22.9419
NRCA5_GRISM256_F444W           Idl2SciX32 -6.33998047879648e-06 -6.30297171120259e-06        0.000000     0.5837
NRCA5_GRISM256_F444W           Idl2SciX33  3.34171721689746e-08  8.85131107250837e-08        0.000000    62.2461
NRCA5_GRISM256_F444W           Idl2SciX40  3.64971626036441e-09  2.42201951045708e-09        0.000000    33.6381
NRCA5_GRISM256_F444W           Idl2SciX41  1.17250106497974e-08   1.1614117242554e-08        0.000000     0.9458
NRCA5_GRISM256_F444W           Idl2SciX42  5.09691612927881e-09  3.59147437222044e-09        0.000000    29.5363
NRCA5_GRISM256_F444W           Idl2SciX43   1.1910455754267e-08   1.1838780156901e-08        0.000000     0.6018
NRCA5_GRISM256_F444W           Idl2SciX44  8.03608348746865e-10  5.41981246696139e-10        0.000000    32.5565
NRCA5_GRISM256_F444W           Idl2SciX50 -5.99576084339927e-11 -5.99639023394595e-11        0.000000     0.0105
NRCA5_GRISM256_F444W           Idl2SciX51 -6.61206422947397e-12  -6.5577593547987e-12        0.000000     0.8213
NRCA5_GRISM256_F444W           Idl2SciX52   -1.214949450162e-10 -1.21493081967389e-10        0.000000     0.0015
NRCA5_GRISM256_F444W           Idl2SciX53 -8.18854475436056e-12 -8.07176305573708e-12        0.000000     1.4262
NRCA5_GRISM256_F444W           Idl2SciX54 -6.05794003196033e-11 -6.05709801124822e-11        0.000000     0.0139
NRCA5_GRISM256_F444W           Idl2SciX55 -1.51910635137054e-12 -1.46120817465727e-12        0.000000     3.8113
NRCA5_GRISM256_F444W           Idl2SciY00  -0.00362227772620827  -0.00306826744053978        0.000554    15.2945
NRCA5_GRISM256_F444W           Idl2SciY10    0.0154913452480663    0.0236409685311932        0.008150    34.4725
NRCA5_GRISM256_F444W           Idl2SciY11      15.5757915316779      15.5724319911713        0.003360     0.0216
NRCA5_GRISM256_F444W           Idl2SciY20 -0.000814994059799135 -0.000816018761581727        0.000001     0.1256
NRCA5_GRISM256_F444W           Idl2SciY21 -0.000773338629499936 -0.000829068644186272        0.000056     6.7220
NRCA5_GRISM256_F444W           Idl2SciY22   0.00289988533429027   0.00289764369284774        0.000002     0.0773
NRCA5_GRISM256_F444W           Idl2SciY30 -5.58035636845744e-08  7.69203873856823e-09        0.000000   113.7841
NRCA5_GRISM256_F444W           Idl2SciY31 -7.62526992165466e-06 -7.58330512826505e-06        0.000000     0.5503
NRCA5_GRISM256_F444W           Idl2SciY32 -8.35762221859161e-07 -6.76342876003397e-07        0.000000    19.0747
NRCA5_GRISM256_F444W           Idl2SciY33 -7.54380093051421e-06 -7.52689681568642e-06        0.000000     0.2241
NRCA5_GRISM256_F444W           Idl2SciY40  4.28731387771629e-09  4.27663525229393e-09        0.000000     0.2491
NRCA5_GRISM256_F444W           Idl2SciY41  4.02080459363415e-09  3.00488639355158e-09        0.000000    25.2665
NRCA5_GRISM256_F444W           Idl2SciY42  2.01914140533435e-08  2.01133020980545e-08        0.000000     0.3869
NRCA5_GRISM256_F444W           Idl2SciY43  4.47432113598216e-09  3.50821552127167e-09        0.000000    21.5922
NRCA5_GRISM256_F444W           Idl2SciY44   1.5124053652582e-08  1.50972122545847e-08        0.000000     0.1775
NRCA5_GRISM256_F444W           Idl2SciY50 -6.64999400092231e-13 -7.25029834670711e-13        0.000000     8.2797
NRCA5_GRISM256_F444W           Idl2SciY51 -6.28014236435505e-11 -6.28106429818924e-11        0.000000     0.0147
NRCA5_GRISM256_F444W           Idl2SciY52 -6.50944278047241e-12  -6.6112322862066e-12        0.000000     1.5396
NRCA5_GRISM256_F444W           Idl2SciY53 -1.19238100773588e-10 -1.19241926031983e-10        0.000000     0.0032
NRCA5_GRISM256_F444W           Idl2SciY54 -5.90128284864619e-12 -5.94028353159267e-12        0.000000     0.6565
NRCA5_GRISM256_F444W           Idl2SciY55 -5.58596253820484e-11 -5.58539662550897e-11        0.000000     0.0101

NRCA5_GRISM128_F444W              XDetRef                1162.0                1097.0       65.000000     5.5938
NRCA5_GRISM128_F444W            XSciScale            0.06356843            0.06358032        0.000012     0.0187
NRCA5_GRISM128_F444W            YSciScale            0.06420068            0.06421458        0.000014     0.0216
NRCA5_GRISM128_F444W                V2Ref             94.957742             90.825526        4.132216     4.3516
NRCA5_GRISM128_F444W                V3Ref           -556.255455           -556.284754        0.029299     0.0053
NRCA5_GRISM128_F444W          V3IdlYAngle             -0.362141             -0.307377        0.054764    15.1223
NRCA5_GRISM128_F444W          V3SciXAngle            -90.418714            -90.393787        0.024927     0.0276
NRCA5_GRISM128_F444W          V3SciYAngle             -0.362141             -0.307377        0.054764    15.1223
NRCA5_GRISM128_F444W            XIdlVert1               -56.396               -56.389        0.007000     0.0124
NRCA5_GRISM128_F444W            XIdlVert2               74.1509               74.1943        0.043400     0.0585
NRCA5_GRISM128_F444W            XIdlVert3               74.0072                 74.05        0.042800     0.0578
NRCA5_GRISM128_F444W            XIdlVert4              -56.2883              -56.2817        0.006600     0.0117
NRCA5_GRISM128_F444W            YIdlVert1               -1.9937               -1.9634        0.030300     1.5198
NRCA5_GRISM128_F444W            YIdlVert2               -2.0205               -2.0617        0.041200     1.9984
NRCA5_GRISM128_F444W            YIdlVert3                6.2428                 6.206        0.036800     0.5895
NRCA5_GRISM128_F444W            YIdlVert4                6.2073                6.2374        0.030100     0.4826
NRCA5_GRISM128_F444W           Sci2IdlX10    0.0635683981790586    0.0635802490912982        0.000012     0.0186
NRCA5_GRISM128_F444W           Sci2IdlX20   8.1525770948239e-08   1.0194311455469e-07        0.000000    20.0282
NRCA5_GRISM128_F444W           Sci2IdlX21 -9.44409079568551e-07 -9.43986483388027e-07        0.000000     0.0447
NRCA5_GRISM128_F444W           Sci2IdlX22 -1.13685922125433e-07 -1.05681889998662e-07        0.000000     7.0405
NRCA5_GRISM128_F444W           Sci2IdlX30  1.03992522510518e-10  1.03397501320524e-10        0.000000     0.5722
NRCA5_GRISM128_F444W           Sci2IdlX31  3.76951840272928e-12 -4.09433047324308e-13        0.000000   110.8617
NRCA5_GRISM128_F444W           Sci2IdlX32  1.34730487477901e-10  1.34186773414972e-10        0.000000     0.4036
NRCA5_GRISM128_F444W           Sci2IdlX33  3.89655069280881e-12  2.61185685822939e-12        0.000000    32.9700
NRCA5_GRISM128_F444W           Sci2IdlX40  -3.0546196965928e-15 -1.52867308786235e-15        0.000000    49.9554
NRCA5_GRISM128_F444W           Sci2IdlX41 -2.20654226806754e-14 -2.19470574904694e-14        0.000000     0.5364
NRCA5_GRISM128_F444W           Sci2IdlX42 -5.09733998653504e-15   -3.267587649607e-15        0.000000    35.8962
NRCA5_GRISM128_F444W           Sci2IdlX43 -2.19844144120389e-14 -2.19262001205159e-14        0.000000     0.2648
NRCA5_GRISM128_F444W           Sci2IdlX44 -1.10277512974502e-15 -8.19165814478061e-16        0.000000    25.7178
NRCA5_GRISM128_F444W           Sci2IdlX50   4.7064142109357e-18  4.70652355025011e-18        0.000000     0.0023
NRCA5_GRISM128_F444W           Sci2IdlX51  4.61381155188326e-19    4.664256013369e-19        0.000000     1.0815
NRCA5_GRISM128_F444W           Sci2IdlX52  9.52822308377682e-18  9.52883671265412e-18        0.000000     0.0064
NRCA5_GRISM128_F444W           Sci2IdlX53  4.65317326668329e-19  4.74626130184666e-19        0.000000     1.9613
NRCA5_GRISM128_F444W           Sci2IdlX54  4.71430197891552e-18  4.71479482256908e-18        0.000000     0.0105
NRCA5_GRISM128_F444W           Sci2IdlX55  2.13524271424243e-20  2.55680565951571e-20        0.000000    16.4879
NRCA5_GRISM128_F444W           Sci2IdlY10  -6.2766914878357e-05 -9.58877688019125e-05        0.000033    34.5413
NRCA5_GRISM128_F444W           Sci2IdlY11    0.0642006764178174    0.0642145791633078        0.000014     0.0217
NRCA5_GRISM128_F444W           Sci2IdlY20  2.12585836798807e-07  2.12663085493052e-07        0.000000     0.0363
NRCA5_GRISM128_F444W           Sci2IdlY21  2.05794534528512e-07  2.21972103421212e-07        0.000000     7.2881
NRCA5_GRISM128_F444W           Sci2IdlY22  -7.6854724296683e-07 -7.68441806131136e-07        0.000000     0.0137
NRCA5_GRISM128_F444W           Sci2IdlY30  1.39351930758267e-12  2.99956583170419e-13        0.000000    78.4749
NRCA5_GRISM128_F444W           Sci2IdlY31   1.1775434193284e-10  1.17293763358917e-10        0.000000     0.3911
NRCA5_GRISM128_F444W           Sci2IdlY32  2.00027868882654e-12 -1.97883821310468e-12        0.000000   198.9281
NRCA5_GRISM128_F444W           Sci2IdlY33  1.49105745692816e-10  1.48906641504699e-10        0.000000     0.1335
NRCA5_GRISM128_F444W           Sci2IdlY40 -3.84485793249853e-15 -3.80548924620705e-15        0.000000     1.0239
NRCA5_GRISM128_F444W           Sci2IdlY41 -3.05035077695178e-15  -1.6571188953852e-15        0.000000    45.6745
NRCA5_GRISM128_F444W           Sci2IdlY42 -2.96850344742033e-14 -2.95558466283652e-14        0.000000     0.4352
NRCA5_GRISM128_F444W           Sci2IdlY43 -3.65884446806773e-15 -2.37176175643968e-15        0.000000    35.1773
NRCA5_GRISM128_F444W           Sci2IdlY44 -2.39094949746566e-14 -2.38750604462966e-14        0.000000     0.1440
NRCA5_GRISM128_F444W           Sci2IdlY50  1.16644027148263e-19  1.12145552332446e-19        0.000000     3.8566
NRCA5_GRISM128_F444W           Sci2IdlY51  5.27790575840338e-18  5.27746235641411e-18        0.000000     0.0084
NRCA5_GRISM128_F444W           Sci2IdlY52  6.46554691129443e-19  6.37447257750754e-19        0.000000     1.4086
NRCA5_GRISM128_F444W           Sci2IdlY53  9.73943530226174e-18  9.73898610010231e-18        0.000000     0.0046
NRCA5_GRISM128_F444W           Sci2IdlY54  5.17884154373791e-19  5.13377957097922e-19        0.000000     0.8701
NRCA5_GRISM128_F444W           Sci2IdlY55   4.4105569286104e-18  4.41053450515241e-18        0.000000     0.0005
NRCA5_GRISM128_F444W           Idl2SciX00   0.00505931159489137   0.00313506968880972        0.001924    38.0337
NRCA5_GRISM128_F444W           Idl2SciX10      15.7306275938427      15.7276837333709        0.002944     0.0187
NRCA5_GRISM128_F444W           Idl2SciX11  4.24497240917171e-05  5.12560407735091e-05        0.000009    17.1810
NRCA5_GRISM128_F444W           Idl2SciX20 -0.000315471885626031 -0.000392293297044018        0.000077    19.5826
NRCA5_GRISM128_F444W           Idl2SciX21   0.00364309289053852   0.00363981009266798        0.000003     0.0901
NRCA5_GRISM128_F444W           Idl2SciX22  0.000430011395162042   0.00040041202064274        0.000030     6.8834
NRCA5_GRISM128_F444W           Idl2SciX30 -6.50424992819018e-06 -6.45468633113169e-06        0.000000     0.7620
NRCA5_GRISM128_F444W           Idl2SciX31 -6.58672499552313e-07 -5.07560762338894e-07        0.000000    22.9419
NRCA5_GRISM128_F444W           Idl2SciX32 -6.33998047879648e-06 -6.30297171120259e-06        0.000000     0.5837
NRCA5_GRISM128_F444W           Idl2SciX33  3.34171721689746e-08  8.85131107250837e-08        0.000000    62.2461
NRCA5_GRISM128_F444W           Idl2SciX40  3.64971626036441e-09  2.42201951045708e-09        0.000000    33.6381
NRCA5_GRISM128_F444W           Idl2SciX41  1.17250106497974e-08   1.1614117242554e-08        0.000000     0.9458
NRCA5_GRISM128_F444W           Idl2SciX42  5.09691612927881e-09  3.59147437222044e-09        0.000000    29.5363
NRCA5_GRISM128_F444W           Idl2SciX43   1.1910455754267e-08   1.1838780156901e-08        0.000000     0.6018
NRCA5_GRISM128_F444W           Idl2SciX44  8.03608348746865e-10  5.41981246696139e-10        0.000000    32.5565
NRCA5_GRISM128_F444W           Idl2SciX50 -5.99576084339927e-11 -5.99639023394595e-11        0.000000     0.0105
NRCA5_GRISM128_F444W           Idl2SciX51 -6.61206422947397e-12  -6.5577593547987e-12        0.000000     0.8213
NRCA5_GRISM128_F444W           Idl2SciX52   -1.214949450162e-10 -1.21493081967389e-10        0.000000     0.0015
NRCA5_GRISM128_F444W           Idl2SciX53 -8.18854475436056e-12 -8.07176305573708e-12        0.000000     1.4262
NRCA5_GRISM128_F444W           Idl2SciX54 -6.05794003196033e-11 -6.05709801124822e-11        0.000000     0.0139
NRCA5_GRISM128_F444W           Idl2SciX55 -1.51910635137054e-12 -1.46120817465727e-12        0.000000     3.8113
NRCA5_GRISM128_F444W           Idl2SciY00  -0.00362227772620827  -0.00306826744053978        0.000554    15.2945
NRCA5_GRISM128_F444W           Idl2SciY10    0.0154913452480663    0.0236409685311932        0.008150    34.4725
NRCA5_GRISM128_F444W           Idl2SciY11      15.5757915316779      15.5724319911713        0.003360     0.0216
NRCA5_GRISM128_F444W           Idl2SciY20 -0.000814994059799135 -0.000816018761581727        0.000001     0.1256
NRCA5_GRISM128_F444W           Idl2SciY21 -0.000773338629499936 -0.000829068644186272        0.000056     6.7220
NRCA5_GRISM128_F444W           Idl2SciY22   0.00289988533429027   0.00289764369284774        0.000002     0.0773
NRCA5_GRISM128_F444W           Idl2SciY30 -5.58035636845744e-08  7.69203873856823e-09        0.000000   113.7841
NRCA5_GRISM128_F444W           Idl2SciY31 -7.62526992165466e-06 -7.58330512826505e-06        0.000000     0.5503
NRCA5_GRISM128_F444W           Idl2SciY32 -8.35762221859161e-07 -6.76342876003397e-07        0.000000    19.0747
NRCA5_GRISM128_F444W           Idl2SciY33 -7.54380093051421e-06 -7.52689681568642e-06        0.000000     0.2241
NRCA5_GRISM128_F444W           Idl2SciY40  4.28731387771629e-09  4.27663525229393e-09        0.000000     0.2491
NRCA5_GRISM128_F444W           Idl2SciY41  4.02080459363415e-09  3.00488639355158e-09        0.000000    25.2665
NRCA5_GRISM128_F444W           Idl2SciY42  2.01914140533435e-08  2.01133020980545e-08        0.000000     0.3869
NRCA5_GRISM128_F444W           Idl2SciY43  4.47432113598216e-09  3.50821552127167e-09        0.000000    21.5922
NRCA5_GRISM128_F444W           Idl2SciY44   1.5124053652582e-08  1.50972122545847e-08        0.000000     0.1775
NRCA5_GRISM128_F444W           Idl2SciY50 -6.64999400092231e-13 -7.25029834670711e-13        0.000000     8.2797
NRCA5_GRISM128_F444W           Idl2SciY51 -6.28014236435505e-11 -6.28106429818924e-11        0.000000     0.0147
NRCA5_GRISM128_F444W           Idl2SciY52 -6.50944278047241e-12  -6.6112322862066e-12        0.000000     1.5396
NRCA5_GRISM128_F444W           Idl2SciY53 -1.19238100773588e-10 -1.19241926031983e-10        0.000000     0.0032
NRCA5_GRISM128_F444W           Idl2SciY54 -5.90128284864619e-12 -5.94028353159267e-12        0.000000     0.6565
NRCA5_GRISM128_F444W           Idl2SciY55 -5.58596253820484e-11 -5.58539662550897e-11        0.000000     0.0101

NRCA5_GRISM64_F444W               XDetRef                1162.0                1097.0       65.000000     5.5938
NRCA5_GRISM64_F444W             XSciScale            0.06356843            0.06358032        0.000012     0.0187
NRCA5_GRISM64_F444W             YSciScale            0.06420068            0.06421458        0.000014     0.0216
NRCA5_GRISM64_F444W                 V2Ref             94.957742             90.825526        4.132216     4.3516
NRCA5_GRISM64_F444W                 V3Ref           -556.255455           -556.284754        0.029299     0.0053
NRCA5_GRISM64_F444W           V3IdlYAngle             -0.362141             -0.307377        0.054764    15.1223
NRCA5_GRISM64_F444W           V3SciXAngle            -90.418714            -90.393787        0.024927     0.0276
NRCA5_GRISM64_F444W           V3SciYAngle             -0.362141             -0.307377        0.054764    15.1223
NRCA5_GRISM64_F444W             XIdlVert1               -56.396               -56.389        0.007000     0.0124
NRCA5_GRISM64_F444W             XIdlVert2               74.1509               74.1943        0.043400     0.0585
NRCA5_GRISM64_F444W             XIdlVert3               74.0789               74.1219        0.043000     0.0580
NRCA5_GRISM64_F444W             XIdlVert4              -56.3412              -56.3344        0.006800     0.0121
NRCA5_GRISM64_F444W             YIdlVert1               -1.9937               -1.9634        0.030300     1.5198
NRCA5_GRISM64_F444W             YIdlVert2               -2.0205               -2.0617        0.041200     1.9984
NRCA5_GRISM64_F444W             YIdlVert3                2.1144                2.0754        0.039000     1.8445
NRCA5_GRISM64_F444W             YIdlVert4                  2.11                2.1402        0.030200     1.4111
NRCA5_GRISM64_F444W            Sci2IdlX10    0.0635683981790586    0.0635802490912982        0.000012     0.0186
NRCA5_GRISM64_F444W            Sci2IdlX20   8.1525770948239e-08   1.0194311455469e-07        0.000000    20.0282
NRCA5_GRISM64_F444W            Sci2IdlX21 -9.44409079568551e-07 -9.43986483388027e-07        0.000000     0.0447
NRCA5_GRISM64_F444W            Sci2IdlX22 -1.13685922125433e-07 -1.05681889998662e-07        0.000000     7.0405
NRCA5_GRISM64_F444W            Sci2IdlX30  1.03992522510518e-10  1.03397501320524e-10        0.000000     0.5722
NRCA5_GRISM64_F444W            Sci2IdlX31  3.76951840272928e-12 -4.09433047324308e-13        0.000000   110.8617
NRCA5_GRISM64_F444W            Sci2IdlX32  1.34730487477901e-10  1.34186773414972e-10        0.000000     0.4036
NRCA5_GRISM64_F444W            Sci2IdlX33  3.89655069280881e-12  2.61185685822939e-12        0.000000    32.9700
NRCA5_GRISM64_F444W            Sci2IdlX40  -3.0546196965928e-15 -1.52867308786235e-15        0.000000    49.9554
NRCA5_GRISM64_F444W            Sci2IdlX41 -2.20654226806754e-14 -2.19470574904694e-14        0.000000     0.5364
NRCA5_GRISM64_F444W            Sci2IdlX42 -5.09733998653504e-15   -3.267587649607e-15        0.000000    35.8962
NRCA5_GRISM64_F444W            Sci2IdlX43 -2.19844144120389e-14 -2.19262001205159e-14        0.000000     0.2648
NRCA5_GRISM64_F444W            Sci2IdlX44 -1.10277512974502e-15 -8.19165814478061e-16        0.000000    25.7178
NRCA5_GRISM64_F444W            Sci2IdlX50   4.7064142109357e-18  4.70652355025011e-18        0.000000     0.0023
NRCA5_GRISM64_F444W            Sci2IdlX51  4.61381155188326e-19    4.664256013369e-19        0.000000     1.0815
NRCA5_GRISM64_F444W            Sci2IdlX52  9.52822308377682e-18  9.52883671265412e-18        0.000000     0.0064
NRCA5_GRISM64_F444W            Sci2IdlX53  4.65317326668329e-19  4.74626130184666e-19        0.000000     1.9613
NRCA5_GRISM64_F444W            Sci2IdlX54  4.71430197891552e-18  4.71479482256908e-18        0.000000     0.0105
NRCA5_GRISM64_F444W            Sci2IdlX55  2.13524271424243e-20  2.55680565951571e-20        0.000000    16.4879
NRCA5_GRISM64_F444W            Sci2IdlY10  -6.2766914878357e-05 -9.58877688019125e-05        0.000033    34.5413
NRCA5_GRISM64_F444W            Sci2IdlY11    0.0642006764178174    0.0642145791633078        0.000014     0.0217
NRCA5_GRISM64_F444W            Sci2IdlY20  2.12585836798807e-07  2.12663085493052e-07        0.000000     0.0363
NRCA5_GRISM64_F444W            Sci2IdlY21  2.05794534528512e-07  2.21972103421212e-07        0.000000     7.2881
NRCA5_GRISM64_F444W            Sci2IdlY22  -7.6854724296683e-07 -7.68441806131136e-07        0.000000     0.0137
NRCA5_GRISM64_F444W            Sci2IdlY30  1.39351930758267e-12  2.99956583170419e-13        0.000000    78.4749
NRCA5_GRISM64_F444W            Sci2IdlY31   1.1775434193284e-10  1.17293763358917e-10        0.000000     0.3911
NRCA5_GRISM64_F444W            Sci2IdlY32  2.00027868882654e-12 -1.97883821310468e-12        0.000000   198.9281
NRCA5_GRISM64_F444W            Sci2IdlY33  1.49105745692816e-10  1.48906641504699e-10        0.000000     0.1335
NRCA5_GRISM64_F444W            Sci2IdlY40 -3.84485793249853e-15 -3.80548924620705e-15        0.000000     1.0239
NRCA5_GRISM64_F444W            Sci2IdlY41 -3.05035077695178e-15  -1.6571188953852e-15        0.000000    45.6745
NRCA5_GRISM64_F444W            Sci2IdlY42 -2.96850344742033e-14 -2.95558466283652e-14        0.000000     0.4352
NRCA5_GRISM64_F444W            Sci2IdlY43 -3.65884446806773e-15 -2.37176175643968e-15        0.000000    35.1773
NRCA5_GRISM64_F444W            Sci2IdlY44 -2.39094949746566e-14 -2.38750604462966e-14        0.000000     0.1440
NRCA5_GRISM64_F444W            Sci2IdlY50  1.16644027148263e-19  1.12145552332446e-19        0.000000     3.8566
NRCA5_GRISM64_F444W            Sci2IdlY51  5.27790575840338e-18  5.27746235641411e-18        0.000000     0.0084
NRCA5_GRISM64_F444W            Sci2IdlY52  6.46554691129443e-19  6.37447257750754e-19        0.000000     1.4086
NRCA5_GRISM64_F444W            Sci2IdlY53  9.73943530226174e-18  9.73898610010231e-18        0.000000     0.0046
NRCA5_GRISM64_F444W            Sci2IdlY54  5.17884154373791e-19  5.13377957097922e-19        0.000000     0.8701
NRCA5_GRISM64_F444W            Sci2IdlY55   4.4105569286104e-18  4.41053450515241e-18        0.000000     0.0005
